Issue Id,Parent Id,Issue Type,Summary,Description,Priority,Status,Story Points,Component,Epic Name,Assignee,Sprint,Labels,Labels,Labels,Labels,Labels
1,,Epic,Identidad y perfiles de usuario,"Microservicio users: registro, consulta, actualización y administración de perfiles. El perfil se ancla al claim sub del JWT de Cognito; no almacena contraseñas ni roles.",Highest,Done,,users,Identidad y perfiles,Fernando Socasi,Sprint 1,users,backend,,,
2,1,Story,HU-01 Registro automático de perfil de usuario,"Como usuario autenticado quiero registrar mi perfil para poder operar en la plataforma, sin escribir mi identificador porque el sistema lo toma del token.

*Criterios de aceptación:*
- POST /users/me crea el perfil tomando cognito_id y username de los claims del JWT, no del body
- GET /users/me devuelve el perfil asociado al sub del token
- Un mismo usuario de Cognito no puede tener dos perfiles: responde 409
- Nombre en blanco responde 400
- Sin token responde 401

*Evidencia:* UserController.createMyProfile · UserService.createUser · UserControllerTest

*Rúbrica:* 1.1 · RF-01 RF-02",Highest,Done,5,users,,Fernando Socasi,Sprint 1,users,RF-01,RF-02,HU-01,
3,1,Story,HU-02 Actualización de datos de contacto,"Como jugador quiero actualizar mi nombre, correo y teléfono para mantener mis datos al día.

*Criterios de aceptación:*
- PUT /users/me actualiza únicamente el perfil propio, resuelto por el sub del token
- El nombre no puede quedar en blanco: 400
- Si el usuario nunca se registró: 404
- El cambio queda en audit_log con valores anteriores y nuevos enmascarados
- No existe endpoint para editar el perfil de otro usuario

*Evidencia:* UserService.updateUser · BlankNameException

*Rúbrica:* 1.1 · RF-03",Medium,Done,3,users,,Fernando Socasi,Sprint 1,users,RF-03,HU-02,,
4,1,Story,HU-03 Administración de perfiles exclusiva de MANAGER,"Como MANAGER quiero listar, consultar y dar de baja perfiles para administrar la plataforma.

*Criterios de aceptación:*
- GET /users devuelve todos los perfiles solo para MANAGER; un PLAYER recibe 403
- GET /users/{id} devuelve un perfil concreto solo para MANAGER
- DELETE /users/{id} elimina el perfil y responde 204
- La baja deja registro DELETE en audit_log con los valores previos
- audit_log no tiene FK hacia users: el rastro sobrevive al borrado

*Evidencia:* SecurityConfig hasRole(MANAGER) · UserService.deleteUser

*Rúbrica:* 1.1 · RF-04 RF-05 RF-06",Medium,Done,5,users,,Fernando Socasi,Sprint 2,users,RF-04,RF-05,RF-06,HU-03
5,1,Story,Resolución de perfil por identificador de Cognito,"Como microservicio matchpoint necesito resolver un perfil a partir del cognitoId para validar que el jugador está registrado antes de crear una reserva.

*Criterios de aceptación:*
- GET /users/cognito/{cognitoId} disponible para cualquier usuario autenticado
- Devuelve 404 si no existe perfil para ese identificador
- Es el endpoint que consume UsersClient desde matchpoint

*Evidencia:* UserController · UsersClient

*Rúbrica:* 1.1 · RF-07",Medium,Done,2,users,,Fernando Socasi,Sprint 2,users,RF-07,integración,,
6,,Epic,Seguridad: autenticación y autorización,"Identidad delegada a AWS Cognito. Cada microservicio es un OAuth2 Resource Server que valida firma, emisor y expiración contra el JWKS. Autorización en dos capas: rol y propiedad del recurso.",Highest,Done,,transversal,Seguridad,Fernando Socasi,Sprint 1,security,backend,,,
7,6,Story,HU-04 Validación de JWT y JWKS con AWS Cognito,"Como sistema necesito validar cada token contra el User Pool para no confiar en nadie sin identidad verificada. PRIMERA historia del proyecto: ninguna otra se puede probar sin ella (ADR-001).

*Criterios de aceptación:*
- Cada microservicio configura issuer-uri y descarga el JWKS del User Pool
- Se valida firma, emisor y expiración de cada token
- Token ausente, expirado o manipulado responde 401
- No existe JWT propio, ni sesión, ni Basic Auth, ni usuarios en memoria
- Los dos servicios arman el issuer con las mismas variables: un token que uno acepta el otro también
- GET /matchpoint/me con token real devuelve username, sub y groups

*Evidencia:* SecurityConfig (ambos servicios) · LoggingAuthenticationEntryPoint · commit 92e4e56

*Rúbrica:* 3.6 · RF-08 · ADR-001 ADR-002",Highest,Done,8,transversal,,Fernando Socasi,Sprint 1,security,cognito,RF-08,HU-04,ADR-001
8,6,Story,Mapeo de cognito:groups a roles de Spring Security,"Como sistema necesito traducir los grupos de Cognito a autoridades para restringir endpoints por rol.

*Criterios de aceptación:*
- El claim cognito:groups se traduce a ROLE_MANAGER / ROLE_PLAYER
- El conversor es idéntico en los dos microservicios
- Un rol equivocado en un endpoint protegido responde 403 con event=authz.denied
- Si el claim no existe, el usuario queda autenticado sin autoridades

*Evidencia:* CognitoGroupsConverter · CognitoGroupsConverterTest

*Rúbrica:* 3.6 · RF-09",Highest,Done,3,transversal,,Fernando Socasi,Sprint 1,security,cognito,RF-09,,
9,6,Story,Autorización por propiedad del recurso,"Como dueño de un recurso quiero que nadie más pueda modificarlo, aunque tenga mi mismo rol. Segunda capa de 403, decidida en el service (ADR-007).

*Criterios de aceptación:*
- findCourtOwnedBy, findReservationOwnedBy y findTournamentOwnedBy comparan contra el username del token
- Un MANAGER no puede editar la cancha de otro MANAGER: 403
- Un PLAYER no puede cancelar la reserva de otro: 403
- Los DTO de request NO tienen campo de propietario: la suplantación por body es imposible
- El log distingue event=ownership.denied de event=authz.denied

*Evidencia:* CourtService · ReservationService · TournamentService · GlobalExceptionHandler

*Rúbrica:* 3.6 · RF-10 · ADR-007",Highest,Done,5,transversal,,Josué Herrera,Sprint 2,security,RF-10,ADR-007,,
10,,Epic,Gestión de canchas,"Publicación, catálogo público y motor de búsqueda de disponibilidad por franja horaria. El catálogo es público sin token: es el escaparate del producto.",High,Done,,matchpoint,Gestión de canchas,Josué Herrera,Sprint 2,matchpoint,backend,,,
11,10,Story,HU-05 Publicación y actualización de canchas,"Como MANAGER quiero publicar mis canchas y ajustar precio y disponibilidad para que los jugadores puedan encontrarlas y reservarlas.

*Criterios de aceptación:*
- POST /matchpoint/courts crea la cancha; el managerUser sale del claim del token
- Nombre, sector y tipo de piso son obligatorios: 400 si faltan
- El precio por hora debe ser mayor que 0: 400
- PATCH /matchpoint/courts/{id} actualiza precio y estado activo, solo del dueño
- Cancha ajena: 403 · Cancha inexistente: 404 · Un PLAYER: 403
- Toda mutación deja fila en audit_log

*Evidencia:* CourtService.createCourt · CourtService.updateCourt · CourtServiceTest

*Rúbrica:* 3.3 · RF-11 RF-15",High,Done,5,matchpoint,,Josué Herrera,Sprint 2,matchpoint,canchas,RF-11,RF-15,HU-05
12,10,Story,HU-06 Motor de búsqueda de disponibilidad,"Como jugador quiero ver qué canchas están libres en una franja horaria concreta para no tener que llamar a cinco números.

*Criterios de aceptación:*
- GET /matchpoint/courts/available acepta sector, sport, startsAt y durationMinutes
- Devuelve SOLO canchas activas
- Descarta canchas con reserva CONFIRMED solapada: startsAt < reserva.endsAt AND reserva.startsAt < endsAt
- Sin franja horaria devuelve todas las activas que cumplen los filtros
- Endpoint público, sin token
- Lista vacía responde 200: no es un error

*Evidencia:* CourtService.availableCourts · CourtService.isFree · 19 pruebas en CourtServiceTest

*Rúbrica:* 3.3 · RF-14",Highest,Done,8,matchpoint,,Josué Herrera,Sprint 2,matchpoint,canchas,RF-14,HU-06,
13,10,Story,Catálogo público de canchas con filtros,"Como visitante quiero ver el catálogo sin crear cuenta, porque pedir registro antes de mostrar valor es la mayor fricción de un marketplace.

*Criterios de aceptación:*
- GET /matchpoint/courts es público y admite filtros por sector y deporte
- GET /matchpoint/courts/{id} es público; 404 si no existe
- No consulta Cognito ni al microservicio users: resuelve contra la base local

*Evidencia:* SecurityConfig permitAll · CourtService.listCourts

*Rúbrica:* 3.3 · RF-12 RF-13",Medium,Done,3,matchpoint,,Josué Herrera,Sprint 2,matchpoint,canchas,RF-12,RF-13,
14,,Epic,Motor de reservas,"Creación de reservas con validación de solapamiento y de perfil remoto, listado y cancelación. Es el único flujo que cruza la frontera entre los dos microservicios.",Highest,Done,,matchpoint,Motor de reservas,Josué Herrera,Sprint 3,matchpoint,backend,,,
15,14,Story,HU-07 Creación de reserva con validación de solapamiento,"Como jugador quiero reservar una cancha en una franja concreta y que el sistema impida que dos personas reserven la misma hora. Es la regla que le vende el producto al dueño.

*Criterios de aceptación:*
- POST /matchpoint/reservations crea la reserva con ownerUser del token
- La cancha debe existir (404) y estar activa (409)
- durationMinutes debe ser mayor que 0 (400)
- No puede existir ninguna reserva CONFIRMED solapada en esa cancha (409)
- El solapamiento se evalúa con inicioA < finB AND inicioB < finA, cubriendo contención parcial
- Un MANAGER recibe 403

*Evidencia:* ReservationService.createReservation · ReservationServiceTest (12 pruebas)

*Rúbrica:* 3.3 · RF-16 RF-17 · RN-01 RN-02",Highest,Done,8,matchpoint,,Josué Herrera,Sprint 3,matchpoint,reservas,RF-17,HU-07,
16,15,Sub-task,Validar perfil llamando al microservicio users,"Antes de guardar la reserva, matchpoint pide el perfil del jugador a users propagando el token del usuario.

*Criterios de aceptación:*
- GET /users/me con la cabecera Authorization original reenviada
- Timeout explícito de 3 segundos
- Si el jugador no tiene perfil: 409
- Si users no responde: 503, y matchpoint se recupera solo
- El nombre devuelto se copia en reservations.owner_name
- NUNCA se fabrica un token de servicio

*Evidencia:* UsersClient · HttpClientConfig · UsersClientTest (7 pruebas)

*Rúbrica:* 3.3 · RF-16 · ADR-004",Highest,Done,5,matchpoint,,Josué Herrera,Sprint 3,integración,RF-16,ADR-004,,
17,15,Sub-task,Sembrar datos que disparan cada validación de reserva,"data.sql debe incluir los casos que permiten demostrar cada regla sin preparar nada.

*Criterios de aceptación:*
- Cancha 3 inactiva: POST /reservations responde 409
- Reserva 1 ocupando una franja: misma franja responde 409
- Reserva 4 de player_luis: DELETE responde 403 por propiedad
- Los INSERT usan ON CONFLICT DO NOTHING: reiniciar no duplica",Medium,Done,2,matchpoint,,Josué Herrera,Sprint 3,datos,demo,,,
18,14,Story,HU-08 Consulta y cancelación de reservas propias,"Como jugador quiero ver y cancelar mis reservas, y que la franja cancelada vuelva a estar disponible.

*Criterios de aceptación:*
- GET /matchpoint/reservations/me devuelve solo las propias, ordenadas por fecha descendente
- GET /matchpoint/reservations/{id} responde 403 si la reserva es de otro jugador
- DELETE /matchpoint/reservations/{id} marca CANCELLED: borrado lógico, la fila se conserva
- La franja cancelada vuelve a estar libre: la disponibilidad solo mira reservas CONFIRMED
- El cambio queda en audit_log con el estado anterior

*Evidencia:* ReservationService.listMine · ReservationService.cancel

*Rúbrica:* 3.3 · RF-18 RF-19 RF-20 · ADR-008",High,Done,5,matchpoint,,Josué Herrera,Sprint 3,matchpoint,reservas,RF-20,HU-08,ADR-008
19,,Epic,Torneos e inscripción de equipos,"Creación de torneos de eliminación directa, inscripción y retiro de equipos, y consulta pública del progreso.",High,Done,,matchpoint,Torneos,Josué Herrera,Sprint 4,matchpoint,backend,,,
20,19,Story,HU-09 Creación de torneos,"Como MANAGER quiero crear un torneo de eliminación directa con su cupo y su sede opcional.

*Criterios de aceptación:*
- POST /matchpoint/tournaments crea el torneo en estado REGISTRATION
- maxTeams debe ser potencia de dos entre 2 y 32: cualquier otro valor responde 400
- El mensaje de error enumera los valores válidos (2, 4, 8, 16, 32)
- Si se indica sede, la cancha debe existir (404) y ser del propio MANAGER (403)
- Un PLAYER recibe 403

*Evidencia:* TournamentService.createTournament · isPowerOfTwo · resolveCourt

*Rúbrica:* 3.3 · RF-21 · ADR-006",High,Done,5,matchpoint,,Josué Herrera,Sprint 4,matchpoint,torneos,RF-21,HU-09,ADR-006
21,19,Story,HU-10 Inscripción y retiro de equipos,"Como jugador quiero inscribir mi equipo en un torneo abierto y poder retirarlo antes de que arranque.

*Criterios de aceptación:*
- POST /tournaments/{id}/teams inscribe con registeredByUser del token
- Torneo que ya arrancó o terminó: 409
- Cupo lleno: 409
- Nombre de equipo repetido dentro del torneo: 409
- Datos de contacto en blanco: 400
- DELETE .../teams/{teamId} solo mientras el torneo siga en REGISTRATION (409 si no)
- Solo puede retirarlo quien lo inscribió: 403
- El correo se enmascara en el log y en audit_log

*Evidencia:* TournamentService.registerTeam · TournamentService.withdrawTeam

*Rúbrica:* 3.3 · RF-23 RF-24",High,Done,5,matchpoint,,Josué Herrera,Sprint 4,matchpoint,torneos,RF-23,RF-24,HU-10
22,19,Story,Consulta pública de torneos y del cuadro,"Como visitante quiero ver el cuadro de un torneo sin cuenta, para poder compartirlo por WhatsApp.

*Criterios de aceptación:*
- GET /matchpoint/tournaments lista torneos con su conteo de equipos inscritos
- GET /matchpoint/tournaments/{id} devuelve estado, equipos, rondas y campeón
- Las rondas llevan nombre legible: Final, Semifinals, Quarterfinals, Round of 16, Round of 32
- Torneo en REGISTRATION devuelve lista de rondas vacía, no error
- Endpoints públicos, sin token

*Evidencia:* TournamentService.getProgress · buildRounds · roundName

*Rúbrica:* 3.3 · RF-22 RF-25",Medium,Done,3,matchpoint,,Josué Herrera,Sprint 4,matchpoint,torneos,RF-22,RF-25,
23,,Epic,Cuadro de partidos y avance automático,"Generación del cuadro completo al arrancar, programación de partidos, registro de marcador y avance automático del ganador hasta el campeón.",High,Done,,matchpoint,Cuadro de partidos,Josué Herrera,Sprint 4,matchpoint,backend,,,
24,23,Story,HU-11 Generación automática del cuadro,"Como MANAGER quiero arrancar el torneo y que el sistema arme todas las llaves, para no dibujar el cuadro a mano.

*Criterios de aceptación:*
- POST /tournaments/{id}/start exige exactamente maxTeams equipos inscritos: 409 si faltan o sobran
- El torneo debe estar en REGISTRATION: 409 si ya arrancó
- Solo el MANAGER dueño del torneo: 403
- La primera ronda se arma por orden de inscripción, en estado READY
- Las rondas siguientes se crean como slots vacíos en estado PENDING
- El torneo pasa a IN_PROGRESS y devuelve el cuadro completo

*Evidencia:* TournamentService.startTournament · TournamentServiceTest (46 pruebas)

*Rúbrica:* 3.3 · RF-26 · ADR-006",High,Done,8,matchpoint,,Josué Herrera,Sprint 4,matchpoint,partidos,RF-26,HU-11,ADR-006
